1,1973,50,,
2,2042,50,,
3,1891,50,,
4,507,50,,
5,1004,50,,
6,2039,50,,
7,2048,50,,
8,510,50,,
9,437,50,,
10,3042,50,,
,,,3,1
1,2005,50,,
2,2044,50,,
3,839,50,,
4,517,50,,
5,1012,50,,
6,2036,50,,
7,2048,50,,
8,844,50,,
9,411,50,,
10,3008,50,,
,,,3,2
1,2608,50,,
2,2044,50,,
3,839,50,,
4,365,50,,
5,1012,50,,
6,2040,50,,
7,2023,50,,
8,847,50,,
9,393,50,,
10,3006,50,,
,,,3,3
1,2032,50,,
2,2045,50,,
3,840,50,,
4,555,50,,
5,1048,50,,
6,1446,50,,
7,2022,50,,
8,825,50,,
9,615,50,,
10,2930,50,,
,,,3,4
1,2739,50,,
2,2045,50,,
3,892,50,,
4,289,50,,
5,1161,50,,
6,2072,50,,
7,2105,50,,
8,828,50,,
9,419,50,,
10,3059,50,,
,,,3,5
1,1973,50,,
2,2042,50,,
3,1891,50,,
4,507,50,,
5,1004,50,,
6,2039,50,,
7,2048,50,,
8,510,50,,
9,437,50,,
10,3042,50,,
,,,3,6
1,1994,50,,
2,2034,50,,
3,1860,50,,
4,530,50,,
5,2067,50,,
6,2118,50,,
7,2079,50,,
8,531,50,,
9,421,50,,
10,2112,50,,
,,,3,7
