1,1974,50,,
2,2037,50,,
3,1849,50,,
4,514,50,,
5,1036,50,,
6,2047,50,,
7,2042,50,,
8,496,50,,
9,430,50,,
10,3060,50,,
,,,3,1
1,2148,50,,
2,2065,50,,
3,1888,50,,
4,530,50,,
5,735,50,,
6,1947,50,,
7,2038,50,,
8,511,50,,
9,414,50,,
10,3356,50,,
,,,0.5,2
1,2819,50,,
2,2054,50,,
3,1837,50,,
4,604,50,,
5,1369,50,,
6,1182,50,,
7,2007,50,,
8,511,50,,
9,387,50,,
10,2625,50,,
,,,0.5,3
1,2521,50,,
2,2042,50,,
3,1813,50,,
4,520,50,,
5,1600,50,,
6,1508,50,,
7,2053,50,,
8,514,50,,
9,451,50,,
10,2444,50,,
,,,0.5,4
1,1974,50,,
2,2037,50,,
3,1849,50,,
4,514,50,,
5,1036,50,,
6,2047,50,,
7,2042,50,,
8,496,50,,
9,430,50,,
10,3060,50,,
,,,0.5,5
1,2148,50,,
2,2065,50,,
3,1888,50,,
4,530,50,,
5,735,50,,
6,1947,50,,
7,2038,50,,
8,511,50,,
9,414,50,,
10,3356,50,,
,,,0.5,6
1,2819,50,,
2,2054,50,,
3,1837,50,,
4,604,50,,
5,1369,50,,
6,1182,50,,
7,2007,50,,
8,511,50,,
9,387,50,,
10,2625,50,,
,,,0.5,7
1,2521,50,,
2,2042,50,,
3,1813,50,,
4,520,50,,
5,1600,50,,
6,1508,50,,
7,2053,50,,
8,514,50,,
9,451,50,,
10,2444,50,,
,,,0.5,8
1,1974,50,,
2,2037,50,,
3,1849,50,,
4,514,50,,
5,1036,50,,
6,2047,50,,
7,2042,50,,
8,496,50,,
9,430,50,,
10,3060,50,,
,,,3,9
1,1977,50,,
2,2034,50,,
3,1854,50,,
4,516,50,,
5,2029,50,,
6,2068,50,,
7,2096,50,,
8,516,50,,
9,429,50,,
10,2069,50,,
,,,3,10
