1,1974,50,,
2,2037,50,,
3,1849,50,,
4,514,50,,
5,1036,50,,
6,2047,50,,
7,2042,50,,
8,496,50,,
9,430,50,,
10,3060,50,,
,,,3,1
1,3040,50,,
2,2071,50,,
3,1864,50,,
4,533,50,,
5,2070,50,,
6,1003,50,,
7,2016,50,,
8,556,50,,
9,432,50,,
10,1979,50,,
,,,3,2
1,3005,50,,
2,2284,50,,
3,1833,50,,
4,554,50,,
5,2003,50,,
6,945,50,,
7,1748,50,,
8,511,50,,
9,474,50,,
10,1938,50,,
,,,1.5,3
1,3040,50,,
2,2071,50,,
3,1864,50,,
4,533,50,,
5,2070,50,,
6,1003,50,,
7,2016,50,,
8,556,50,,
9,432,50,,
10,1979,50,,
,,,1.5,4
1,1925,50,,
2,2007,50,,
3,1824,50,,
4,530,50,,
5,1961,50,,
6,2123,50,,
7,2082,50,,
8,525,50,,
9,446,50,,
10,2112,50,,
,,,3,5
