1,2021,50,,
2,2044,50,,
3,809,50,,
4,556,50,,
5,1041,50,,
6,2053,50,,
7,2058,50,,
8,825,50,,
9,425,50,,
10,3066,50,,
,,,3,1
1,2035,50,,
2,2056,50,,
3,856,50,,
4,802,50,,
5,1078,50,,
6,2046,50,,
7,2048,50,,
8,830,50,,
9,409,50,,
10,3022,50,,
,,,1.5,2
1,2038,50,,
2,2058,50,,
3,855,50,,
4,598,50,,
5,1112,50,,
6,2048,50,,
7,2047,50,,
8,833,50,,
9,157,50,,
10,3021,50,,
,,,1.5,3
1,2035,50,,
2,2056,50,,
3,856,50,,
4,802,50,,
5,1078,50,,
6,2046,50,,
7,2048,50,,
8,830,50,,
9,409,50,,
10,3022,50,,
,,,1.5,4
1,2038,50,,
2,2058,50,,
3,855,50,,
4,598,50,,
5,1112,50,,
6,2048,50,,
7,2047,50,,
8,833,50,,
9,157,50,,
10,3021,50,,
,,,1.5,5
1,2035,50,,
2,2056,50,,
3,856,50,,
4,802,50,,
5,1078,50,,
6,2046,50,,
7,2048,50,,
8,830,50,,
9,409,50,,
10,3022,50,,
,,,1.5,6
1,2038,50,,
2,2058,50,,
3,855,50,,
4,598,50,,
5,1112,50,,
6,2048,50,,
7,2047,50,,
8,833,50,,
9,157,50,,
10,3021,50,,
,,,1.5,7
1,1935,50,,
2,2047,50,,
3,1869,50,,
4,544,50,,
5,1989,50,,
6,2120,50,,
7,2066,50,,
8,525,50,,
9,433,50,,
10,2115,50,,
,,,3,8
