1,1994,50,,
2,2026,50,,
3,1844,50,,
4,522,50,,
5,1051,50,,
6,2045,50,,
7,2048,50,,
8,505,50,,
9,423,50,,
10,3032,50,,
,,,3,1
1,1985,50,,
2,2028,50,,
3,815,50,,
4,536,50,,
5,1052,50,,
6,2010,50,,
7,2052,50,,
8,827,50,,
9,414,50,,
10,3001,50,,
,,,3,2
1,2010,50,,
2,1557,50,,
3,1206,50,,
4,542,50,,
5,996,50,,
6,1973,50,,
7,2451,50,,
8,686,50,,
9,530,50,,
10,3027,50,,
,,,3,3
1,1995,50,,
2,2026,50,,
3,880,50,,
4,577,50,,
5,1047,50,,
6,2035,50,,
7,2054,50,,
8,818,50,,
9,456,50,,
10,3055,50,,
,,,3,4
1,1937,50,,
2,2024,50,,
3,1839,50,,
4,532,50,,
5,1979,50,,
6,2050,50,,
7,2061,50,,
8,505,50,,
9,427,50,,
10,2031,50,,
,,,3,5
