1,2015,50,,
2,2047,50,,
3,1863,50,,
4,530,50,,
5,1082,50,,
6,2097,50,,
7,2051,50,,
8,513,50,,
9,442,50,,
10,3123,50,,
,,,3,1
1,2027,50,,
2,2051,50,,
3,826,50,,
4,569,50,,
5,1092,50,,
6,2030,50,,
7,2048,50,,
8,824,50,,
9,391,50,,
10,3030,50,,
,,,3,2
1,2187,50,,
2,2046,50,,
3,845,50,,
4,453,50,,
5,852,50,,
6,2144,50,,
7,2099,50,,
8,819,50,,
9,295,50,,
10,2914,50,,
,,,3,3
1,2005,50,,
2,1871,50,,
3,988,50,,
4,634,50,,
5,1298,50,,
6,1843,50,,
7,2227,50,,
8,766,50,,
9,509,50,,
10,3111,50,,
,,,3,4
1,2557,50,,
2,1904,50,,
3,799,50,,
4,455,50,,
5,1159,50,,
6,2038,50,,
7,2052,50,,
8,795,50,,
9,259,50,,
10,2774,50,,
,,,3,5
1,2000,50,,
2,2048,50,,
3,863,50,,
4,667,50,,
5,1205,50,,
6,1705,50,,
7,2068,50,,
8,820,50,,
9,487,50,,
10,3112,50,,
,,,3,6
1,1952,50,,
2,2036,50,,
3,1821,50,,
4,546,50,,
5,2029,50,,
6,2097,50,,
7,2077,50,,
8,521,50,,
9,414,50,,
10,2055,50,,
,,,3,7
