1,1975,50,,
2,2039,50,,
3,1878,50,,
4,521,50,,
5,1015,50,,
6,2043,50,,
7,2057,50,,
8,517,50,,
9,432,50,,
10,3063,50,,
,,,3,1
1,2850,50,,
2,2070,50,,
3,1793,50,,
4,538,50,,
5,1853,50,,
6,1116,50,,
7,2023,50,,
8,518,50,,
9,444,50,,
10,2095,50,,
,,,3,2
1,2706,50,,
2,2543,50,,
3,1729,50,,
4,564,50,,
5,1781,50,,
6,1340,50,,
7,1751,50,,
8,569,50,,
9,470,50,,
10,2463,50,,
,,,3,3
1,2575,50,,
2,2533,50,,
3,1578,50,,
4,511,50,,
5,1649,50,,
6,1480,50,,
7,1741,50,,
8,590,50,,
9,484,50,,
10,2440,50,,
,,,3,4
1,2551,50,,
2,2470,50,,
3,1568,50,,
4,518,50,,
5,1622,50,,
6,1210,50,,
7,1745,50,,
8,498,50,,
9,495,50,,
10,2313,50,,
,,,3,5
1,2564,50,,
2,2505,50,,
3,1540,50,,
4,550,50,,
5,1654,50,,
6,1467,50,,
7,1723,50,,
8,541,50,,
9,484,50,,
10,2438,50,,
,,,3,6
1,2493,50,,
2,2057,50,,
3,1945,50,,
4,565,50,,
5,1529,50,,
6,1495,50,,
7,2032,50,,
8,525,50,,
9,431,50,,
10,2496,50,,
,,,3,7
1,1976,50,,
2,2018,50,,
3,1876,50,,
4,534,50,,
5,2013,50,,
6,2081,50,,
7,2062,50,,
8,505,50,,
9,438,50,,
10,2064,50,,
,,,3,8
