1,2021,50,,
2,2078,50,,
3,1881,50,,
4,512,50,,
5,2049,50,,
6,998,50,,
7,2049,50,,
8,807,50,,
9,424,50,,
10,3023,50,,
,,,3,1
1,2021,50,,
2,2072,50,,
3,1881,50,,
4,512,50,,
5,2048,50,,
6,960,50,,
7,2049,50,,
8,808,50,,
9,658,50,,
10,2739,50,,
,,,3,2
1,2021,50,,
2,2071,50,,
3,1881,50,,
4,512,50,,
5,2049,50,,
6,923,50,,
7,2049,50,,
8,821,50,,
9,787,50,,
10,3306,50,,
,,,3,3
1,2021,50,,
2,2066,50,,
3,1881,50,,
4,512,50,,
5,2049,50,,
6,993,50,,
7,2049,50,,
8,820,50,,
9,626,50,,
10,2700,50,,
,,,3,4
1,2021,50,,
2,2064,50,,
3,1881,50,,
4,512,50,,
5,2048,50,,
6,995,50,,
7,2049,50,,
8,824,50,,
9,430,50,,
10,3013,50,,
,,,3,5
1,2021,50,,
2,2022,50,,
3,1882,50,,
4,512,50,,
5,2048,50,,
6,2046,50,,
7,2049,50,,
8,516,50,,
9,401,50,,
10,2069,50,,
,,,3,6
