1,1974,50,,
2,2037,50,,
3,1849,50,,
4,514,50,,
5,1036,50,,
6,2047,50,,
7,2042,50,,
8,496,50,,
9,430,50,,
10,3060,50,,
,,,3,1
1,2978,50,,
2,2004,50,,
3,1824,50,,
4,525,50,,
5,973,50,,
6,1116,50,,
7,2029,50,,
8,500,50,,
9,437,50,,
10,3188,50,,
,,,3,2
1,2957,50,,
2,2975,50,,
3,933,50,,
4,861,50,,
5,1296,50,,
6,1160,50,,
7,1135,50,,
8,798,50,,
9,209,50,,
10,2837,50,,
,,,3,3
1,2978,50,,
2,2004,50,,
3,1824,50,,
4,525,50,,
5,973,50,,
6,1116,50,,
7,2029,50,,
8,500,50,,
9,437,50,,
10,3188,50,,
,,,3,4
1,1962,50,,
2,2008,50,,
3,1842,50,,
4,542,50,,
5,2037,50,,
6,2074,50,,
7,2082,50,,
8,525,50,,
9,398,50,,
10,2045,50,,
,,,3,5
