1,1952,50,,
2,1604,50,,
3,2066,50,,
4,595,50,,
5,1238,50,,
6,2114,50,,
7,2413,50,,
8,441,50,,
9,405,50,,
10,2797,50,,
,,,3,1
1,1386,50,,
2,1783,50,,
3,1876,50,,
4,564,50,,
5,1414,50,,
6,2640,50,,
7,2289,50,,
8,446,50,,
9,403,50,,
10,2699,50,,
,,,3,2
1,1955,50,,
2,1765,50,,
3,1905,50,,
4,551,50,,
5,1073,50,,
6,2049,50,,
7,2336,50,,
8,479,50,,
9,397,50,,
10,3036,50,,
,,,3,3
1,1386,50,,
2,1783,50,,
3,1876,50,,
4,564,50,,
5,1414,50,,
6,2640,50,,
7,2289,50,,
8,446,50,,
9,403,50,,
10,2699,50,,
,,,3,4
1,2584,50,,
2,2042,50,,
3,1851,50,,
4,506,50,,
5,1567,50,,
6,1492,50,,
7,2065,50,,
8,501,50,,
9,470,50,,
10,2531,50,,
,,,3,5
1,1981,50,,
2,2079,50,,
3,1812,50,,
4,513,50,,
5,1045,50,,
6,2120,50,,
7,2052,50,,
8,531,50,,
9,447,50,,
10,3115,50,,
,,,3,6
1,2006,50,,
2,2036,50,,
3,1840,50,,
4,548,50,,
5,2090,50,,
6,2118,50,,
7,2056,50,,
8,524,50,,
9,441,50,,
10,2083,50,,
,,,3,7
