1,2048,50,,
2,1069,50,,
3,1761,50,,
4,518,50,,
5,1828,50,,
6,1953,50,,
7,3023,50,,
8,544,50,,
9,467,50,,
10,2314,50,,
,,,3,1
1,2082,50,,
2,1627,50,,
3,1763,50,,
4,518,50,,
5,1880,50,,
6,1943,50,,
7,2422,50,,
8,510,50,,
9,479,50,,
10,2195,50,,
,,,1.5,2
1,2048,50,,
2,1069,50,,
3,1761,50,,
4,518,50,,
5,1828,50,,
6,1953,50,,
7,3023,50,,
8,544,50,,
9,467,50,,
10,2314,50,,
,,,1.5,3
1,2082,50,,
2,1627,50,,
3,1763,50,,
4,518,50,,
5,1880,50,,
6,1943,50,,
7,2422,50,,
8,510,50,,
9,479,50,,
10,2195,50,,
,,,1.5,4
1,2048,50,,
2,1069,50,,
3,1761,50,,
4,518,50,,
5,1828,50,,
6,1953,50,,
7,3023,50,,
8,544,50,,
9,467,50,,
10,2314,50,,
,,,1.5,5
1,2082,50,,
2,1627,50,,
3,1763,50,,
4,518,50,,
5,1880,50,,
6,1943,50,,
7,2422,50,,
8,510,50,,
9,479,50,,
10,2195,50,,
,,,1.5,6
1,1963,50,,
2,1997,50,,
3,1789,50,,
4,543,50,,
5,2005,50,,
6,2119,50,,
7,2078,50,,
8,532,50,,
9,436,50,,
10,2092,50,,
,,,3,7
