id,protocol,model
1,2.0,MX-64
2,2.0,MX-64
3,2.0,MX-64
4,2.0,MX-64
5,2.0,MX-64
6,2.0,MX-64
7,2.0,MX-64
8,2.0,MX-64
9,2.0,MX-64
10,2.0,MX-64
11,2.0,MX-64
12,2.0,MX-64
13,2.0,MX-64
